title,year,director,country,duration,genre,first_day,first_week,first_weekend,hebdo_rank,total_spectator,copies,rating_press,rating_public,casting,budget,lang,visa,award
le prince degypte,1998,simon wells,etatsunis,5940,animation,126120.0,998779,648991.0,2,3941989,690,2.8,3.7,[],60000000.0,"[""anglais"", ""hebreu""]",96226.0,1.0
lauberge espagnole,2002,cedric klapisch,france,7200,comedie,61398.0,508466,265742.0,3,2971899,348,3.6,3.7,"[""Romain Duris"", ""Cécile de France"", ""Judith Godrèche"", ""Audrey Tautou""]",5300000.0,"[""anglais"", ""francais"", ""espagnol""]",-1.0,3.0
the holiday,2006,nancy meyers,etatsunis,8280,romance,72344.0,399396,308699.0,4,1001522,413,2.4,3.5,"[""Cameron Diaz"", ""Kate Winslet"", ""Jude Law"", ""Jack Black""]",85000000.0,"[""anglais""]",-1.0,1.0
comme des betes 2,2019,chris renaud,etatsunis,5160,animation,181590.0,710881,516201.0,2,2271152,767,3.2,3.5,[],109912000.0,"[""anglais""]",151204.0,0.0
amistad,1997,steven spielberg,etatsunis,9120,drame,76704.29752953813,246403,378094.05652680655,5,630020,289,,,,224575553.58251366,,,
trois jours et une vie,2019,nicolas boukhrief,france,7200,drame,7884.0,56258,41088.0,10,99517,197,3.2,3.8,"[""Sandrine Bonnaire"", ""Pablo Pauly"", ""Jeremy Senez"", ""Charles Berling""]",99600000.0,"[""francais""]",145620.0,0.0
the batman,2022,matt reeves,etatsunis,7980,comicbook,257546.0,1165588,1033663.0,1,3032965,737,3.9,4.1,"[""Robert Pattinson"", ""Zoë Kravitz"", ""Paul Dano"", ""Jeffrey Wright""]",119800000.0,"[""anglais""]",156390.0,0.0
bone collector,1999,philip noyce,etatsunis,7080,thriller,76704.29752953813,191343,378094.05652680655,5,452495,403,,,,224575553.58251366,,,
family man,2000,brett ratner,etatsunis,7500,romance,19416.0,155673,133914.2,7,384478,312,3.0,3.3,"[""Nicolas Cage"", ""Tea Leoni"", ""Makenzie Vega"", ""Jake Milkovich""]",29148000.0,"[""anglais"", ""italien""]",101223.0,0.0
40 ans mode demploi,2012,judd apatow,etatsunis,7980,comedie,9261.0,125161,83822.0,11,170721,180,,,,97000000.0,,,
